person_id,branches
361,0021| 0022| 0126| 0135| 0160| 1021| 1022| 1502| 1505| 1509| 1513| 1514| 1516| 1517| 1518| 1522| 1525| 1544| 1547| 1548| 1552| 1555| 1559| 1561| 1597| 1603| 2151| 8051
330,0021| 0022| 0126| 0135| 0160| 1021| 1022| 1502| 1505| 1516| 1517| 1519| 1522| 1525| 1544| 1547| 1552| 1555| 1559|  1561| 1589| 1603| 2151
402,0021| 0022| 0126| 1021| 1022| 1502| 1505| 1506| 1513| 1514| 1516| 1517| 1522| 1525| 1544| 1547| 1555| 1598| 1603
296,0021| 0022| 0126| 1021| 1022| 1502| 1505| 1506| 1513| 1514| 1516| 1519| 1525| 1544| 1547| 1552| 1597
266,0021| 0022| 0126| 1021| 1022| 1502| 1505| 1506| 1514| 1516| 1525| 1547| 1552| 1555| 1559| 7266
304,0021| 0022| 1021| 1022| 1514| 1547| 1597
1143,0022| 0135| 0516| 1180| 1181| 1509| 1519| 1548| 1555| 1559| 1560
1263,0022| 1502| 1505| 1513| 1516| 1517| 1525| 1544| 1547| 1552| 7266| 7268
276,0034| 1021| 1022| 1096| 1102| 1118| 1119| 1120| 1121| 1123| 1124| 1125| 1125| 1126| 1127| 1128| 1129| 2912| 2913| 7264| 8001
1644,0034| 1021| 1022| 1102| 1118| 1119| 1120| 1121| 1123| 1124| 1125| 1126| 1127| 1128| 1886| 2912| 2913| 7264| 8001
377,0051| 0056| 1526| 1536| 1584| 2155| 2159
479,0054| 0055| 0056| 1515| 1523| 1538| 1539| 1567| 1580| 1585| 2158| 3305
1186,0054| 0055| 1504| 1511| 1512| 1520| 1521| 1523| 1524| 1537| 1538| 1543| 1558| 1562| 1564| 1580| 1582| 1595
1631,0054| 0056| 1500| 1526| 1534| 1545| 1546| 1553| 1566
785,0055| 1511| 1512| 1520| 1521| 1523| 1535| 1537| 1538| 1558| 1563| 1564| 1595| 3305
1266,0056| 1500| 1501| 1504| 1510| 1511| 1524| 1529| 1534| 1537| 1538| 1543| 1552| 1562| 1566| 1576| 1582
