"Business Name","Street","City","State","ZIP","Branch 1","Branch 1 Address","Branch 1 Proximity (miles)","Branch 2","Branch 2 Address","Branch 2 Proximity (miles)","Branch 3","Branch 3 Address","Branch 3 Proximity (miles)","Branch 4","Branch 4 Address","Branch 4 Proximity (miles)","Branch 5","Branch 5 Address","Branch 5 Proximity (miles)","Reps 1","Reps 1 Phone","Reps 1 Email","Reps 2","Reps 2 Phone","Reps 2 Email","Reps 3","Reps 3 Phone","Reps 3 Email","Reps 4","Reps 4 Phone","Reps 4 Email","Reps 5","Reps 5 Phone","Reps 5 Email","Manager"
"Wal-Mart Stores Inc.","806 Laurel St","Creston","IA","50801","Branch 1875","5525 MERLE HAY RD, STE 140 JOHNSTON IA 50131","55","Branch 7385","5525 MERLE HAY RD, STE 145 JOHNSTON IA 50131","55","Branch 1610","2906 S 24TH ST OMAHA NE 68108","83","Branch 1876","2906 S 24TH ST OMAHA NE 68108","83","Branch 7387","2906 S 24TH ST OMAHA NE 68108","83","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","3101 W Kimberly Rd","Davenport","IA","52806","Branch 1879","208 E. 50TH STREET Davenport IA 52806","3","Branch 7267","Moline IL","9","Branch 8027","1930 S GILBERT ST IOWA CITY IA 52240","47","Branch 1874","2000 Wiley Blvd SW #104 CEDAR RAPIDS IA 52404","63","Branch 2381","1798 Central Ave DUBUQUE IA 52001","66","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","5811 Elmore Ave","Davenport","IA","52807","Branch 1879","208 E. 50TH STREET Davenport IA 52806","2","Branch 7267","Moline IL","7","Branch 8027","1930 S GILBERT ST IOWA CITY IA 52240","52","Branch 2381","1798 Central Ave DUBUQUE IA 52001","65","Branch 1874","2000 Wiley Blvd SW #104 CEDAR RAPIDS IA 52404","67","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","1798 Old Sage Rd","Decorah","IA","52101","Branch 1662","1107 LIBERTY STREET LACROSSE WI 54601","46","Branch 1456","903 6TH ST. NW ROCHESTER MN 55901","62","Branch 1873","220 BRANDILYNN BLVD, SUITE C CEDAR FALLS IA 50613","66","Branch 2381","1798 Central Ave DUBUQUE IA 52001","77","Branch 1874","2000 Wiley Blvd SW #104 CEDAR RAPIDS IA 52404","92","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","510 Avenue C","Denison","IA","51442","Branch 1610","2906 S 24TH ST OMAHA NE 68108","62","Branch 1876","2906 S 24TH ST OMAHA NE 68108","62","Branch 7387","2906 S 24TH ST OMAHA NE 68108","62","Branch 1878","323 W 7 th St SIOUX CITY IA 51103-5417","62","Branch 7386","11209 JOHN GALT BLVD Omaha NE 68137","67","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","1001 73rd St","Des Moines","IA","50324","Branch 1875","5525 MERLE HAY RD, STE 140 JOHNSTON IA 50131","5","Branch 7385","5525 MERLE HAY RD, STE 145 JOHNSTON IA 50131","5","Branch 1873","220 BRANDILYNN BLVD, SUITE C CEDAR FALLS IA 50613","90","","","","","","","","","","","","","","","","","","","","","",""
"Sams West Inc.","1101 73rd St","Des Moines","IA","50324","Branch 1875","5525 MERLE HAY RD, STE 140 JOHNSTON IA 50131","5","Branch 7385","5525 MERLE HAY RD, STE 145 JOHNSTON IA 50131","5","Branch 1873","220 BRANDILYNN BLVD, SUITE C CEDAR FALLS IA 50613","90","","","","","","","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","5101 Se 14th St","Des Moines","IA","50320","Branch 1875","5525 MERLE HAY RD, STE 140 JOHNSTON IA 50131","10","Branch 7385","5525 MERLE HAY RD, STE 145 JOHNSTON IA 50131","10","Branch 1873","220 BRANDILYNN BLVD, SUITE C CEDAR FALLS IA 50613","88","","","","","","","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","4200 Dodge St","Dubuque","IA","52003","Branch 2381","1798 Central Ave DUBUQUE IA 52001","4","Branch 1874","2000 Wiley Blvd SW #104 CEDAR RAPIDS IA 52404","62","Branch 1879","208 E. 50TH STREET Davenport IA 52806","64","Branch 7267","Moline IL","71","Branch 8027","1930 S GILBERT ST IOWA CITY IA 52240","71","","","","","","","","","","","","","","","",""
"Sams West Inc.","4400 Asbury Rd","Dubuque","IA","52002","Branch 2381","1798 Central Ave DUBUQUE IA 52001","4","Branch 1874","2000 Wiley Blvd SW #104 CEDAR RAPIDS IA 52404","63","Branch 1879","208 E. 50TH STREET Davenport IA 52806","66","Branch 7267","Moline IL","72","Branch 8027","1930 S GILBERT ST IOWA CITY IA 52240","73","","","","","","","","","","","","","","","",""
